date,Open,High,Low,Close,Volume,EMA20,EMA50,EMA100,EMA200
2011-02-22,22.88,23.0,21.78,21.87,2064600.0,23.813082731800613,25.184308889552895,25.271373181654496,24.589196097030324
2011-02-23,22.18,22.5,21.11,21.83,1605600.0,23.624217709724363,25.05276736447239,25.203227178057375,24.561741409497685
2011-02-24,21.78,22.58,21.5,22.53,1055300.0,23.520006499274423,24.95383531096367,25.150291986412675,24.541525077064875
2011-02-25,22.81,23.85,22.69,23.61,1346300.0,23.528577308867334,24.90113588700431,25.11979115499856,24.532256170825423
2011-02-28,23.74,24.1,23.5,23.89,1051200.0,23.562998517546635,24.861483499278652,25.095438854899577,24.525865562160494
2011-03-01,24.05,24.32,23.7,23.94,1106400.0,23.598903420637434,24.825346891463802,25.07255887757483,24.520036054079295
2011-03-02,23.82,24.28,23.725,24.02,663300.0,23.6390078567672,24.793764660426007,25.051716127523843,24.515060570954127
2011-03-03,24.48,24.79,24.06,24.36,640200.0,23.707673775170324,24.776754281585774,25.038018778463965,24.513517679700854
2011-03-04,24.48,24.99,23.78,24.95,1580100.0,23.825990558487437,24.783548231327508,25.036275832355766,24.517860787365525
2011-03-07,24.93,25.4,24.7,24.94,2033600.0,23.93208669577435,24.78968359480486,25.03436938022991,24.52206117754099
2011-03-08,24.6,24.96,24.0,24.66,1399900.0,24.001411772367266,24.784597963636045,25.026956125175854,24.5234337031376
2011-03-09,24.66,24.99,24.27,24.72,924800.0,24.069848746427525,24.78206471016012,25.020877786063462,24.52538958668847
2011-03-10,24.44,24.49,23.73,24.01,1017000.0,24.06414886581538,24.751787662702863,25.000860404161216,24.520261332094556
2011-03-11,23.85,24.25,23.53,24.07,930800.0,24.064706116690104,24.72505089161648,24.982427524870893,24.51578111983491
2011-03-14,23.82,24.0,23.2,23.25,1166000.0,23.987115057957713,24.66720575861191,24.948122029328896,24.503186282821627
2011-03-15,22.2,22.96,21.8,22.95,1318800.0,23.888342195295074,24.599864356313404,24.908555256470898,24.487731692942805
2011-03-16,22.86,23.25,22.69,22.82,1169700.0,23.786595319552685,24.530065754105035,24.86719772663979,24.471137347739397
2011-03-17,23.24,23.43,22.64,22.81,922600.0,23.693586241500046,24.462612195120524,24.826461137993455,24.454608617911145
2011-03-18,23.19,23.19,22.51,22.96,687900.0,23.62372088516671,24.403686226684428,24.789501511498536,24.43973689036974
2011-03-21,23.05,23.05,22.54,22.73,411700.0,23.53860461038893,24.338051472696804,24.74871930335005,24.42272458300288
2011-03-22,22.73,22.86,22.0,22.19,582900.0,23.410166076066176,24.25381416004203,24.69805159437282,24.400508417997877
2011-03-23,22.11,22.27,21.77,22.21,422800.0,23.295864545012254,24.17366458513842,24.648783245969398,24.37871231433621
2011-03-24,22.14,22.38,21.98,22.33,462200.0,23.203877445487276,24.10136401317221,24.60286674604921,24.358327117178636
2011-03-25,22.43,23.0,22.4,22.75,568000.0,23.160651022107537,24.048369345988984,24.566176315434372,24.342323862281336
2011-03-28,22.7,23.5388,22.55,23.25,1058100.0,23.169160448573486,24.017060744185493,24.540113418099036,24.331454968129282
2011-03-29,23.3,24.0,23.21,23.92,755400.0,23.24066897728077,24.013254440491945,24.52783394447331,24.327360888844414
2011-03-30,24.11,24.49,23.01,23.71,1223300.0,23.285367169920693,24.001362109492263,24.51163921289958,24.32121799442805
2011-03-31,26.55,28.71,26.5,27.75,11517800.0,23.710570296594913,24.148367516963155,24.575765169079787,24.35533522831434
2011-04-01,27.45,28.18,26.57,26.66,2864800.0,23.991468363585874,24.246862908454798,24.617037145929693,24.378267216092304
2011-04-04,26.83,27.0,25.23,25.83,2609300.0,24.166566614672934,24.308946715966375,24.641056212346925,24.392712318419743
2011-04-05,25.9,27.0,25.69,26.7,3180900.0,24.407845984704082,24.402713511418675,24.681827376458866,24.415670404803627
2011-04-06,26.99,27.01,25.8,26.49,1288300.0,24.606146367113215,24.484567883519905,24.717632774944832,24.436310500278218
2011-04-07,26.85,27.94,26.4501,27.24,2810300.0,24.85698957024529,24.592624044950494,24.767580640787507,24.46420790823565
